barrio	municipio	provincia	ads	ads_ratio	percent_turisticas_abril-2017	alojamientos_airbnb_abril-2017	total_viviendas
Sol	Madrid	Madrid	1221	27.36			4463
Cortes	Madrid	Madrid	948	14.64			6477
Justicia	Madrid	Madrid	1106	10.72			10321
Palacio	Madrid	Madrid	1351	10.20			13239
Embajadores	Madrid	Madrid	2504	10.08			24843
Universidad	Madrid	Madrid	1885	9.50			19833
Centro-Donostia	Donostia / San Sebastián	Gipuzkoa	862	6.20	3.15	438	13905
Ategorrieta-Ulia	Donostia / San Sebastián	Gipuzkoa	98	5.73	3.511	60	1709
Igeldo	Donostia / San Sebastián	Gipuzkoa	28	5.65	6.048	30	496
Casco Viejo-Bilbao	Bilbao	Bizkaia	177	4.25	2.283	95	4162
Casco Viejo/Alde Zaharra-Pamplona	Pamplona-Iruña	Navarra	246	3.75			6564
Gros	Donostia / San Sebastián	Gipuzkoa	367	3.64	1.955	197	10079
Atocha	Madrid	Madrid	16	3.50			457
Miramon-Zorroaga	Donostia / San Sebastián	Gipuzkoa	21	3.42	2.117	13	614
Jerónimos	Madrid	Madrid	96	3.04			3154
Trafalgar	Madrid	Madrid	365	2.72			13404
Argüelles	Madrid	Madrid	340	2.68			12679
Recoletos	Madrid	Madrid	231	2.67			8645
Palos de Moguer	Madrid	Madrid	343	2.57			13334
Antiguo	Donostia / San Sebastián	Gipuzkoa	170	2.26	1.648	124	7522
Almagro	Madrid	Madrid	178	1.99			8959
Goya	Madrid	Madrid	302	1.89			16012
San Francisco	Bilbao	Bizkaia	58	1.87	1	31	3100
Egia	Donostia / San Sebastián	Gipuzkoa	130	1.83	1.041	74	7109
Casa de Campo	Madrid	Madrid	109	1.72			6324
Castellana	Madrid	Madrid	142	1.71			8308
Arapiles	Madrid	Madrid	201	1.50			13386
Bilbao la Vieja	Bilbao	Bizkaia	31	1.50	0.873	18	2063
Lista	Madrid	Madrid	162	1.49			10850
Ibiza	Madrid	Madrid	151	1.48			10169
Gaztambide	Madrid	Madrid	189	1.46			12911
La Ribera	Bilbao	Bizkaia	4	1.44	0.361	1	277
Chopera	Madrid	Madrid	131	1.39			9429
Aiete	Donostia / San Sebastián	Gipuzkoa	81	1.38	0.968	57	5886
